pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Latitude;Longitude;Manancial;Lat_Norm;Long_Norm
0.518;0.00725;0.2;0;0;0.140494586;-7.287;-37.0925;2;0.678168425;0.817360505
0.352;0;0.28;;;0.558894266;-16.2029;-49.6109;1;0.449690465;0.540053887
0.345;0.0175;0.039;0;0;0.005221891;-12.1144;-43.8958;1;0.554461956;0.666654335
0.433;0.0166;0.13;0;0;0.01123504;-11.3486;-41.6548;1;0.57408627;0.716296792
0.452;0.0025;0.02;0;0;0.060367029;-21.1204;-42.9359;1;0.323675103;0.687917965
0.427;0.00675;0.18;0;0;0.435767133;-29.4747;-52.0843;;0.109588648;0.485263323
0.428;0.0005;0.08;1;0;0.703585057;-11.1397;-37.6195;1;0.579439521;0.805686443
0.38;0;0.05;0;0;0.003748711;-16.54889;-49.25664;1;0.44082416;0.547901427
0.5;0;0.1;0;0;0.119819219;-19.955634;-45.077776;1;0.353523279;0.640471295
0.589;0.071;0.3;0;0;0.917588461;-4.2416;-69.9383;1;0.75620954;0.08976291
0.4;0.05;0.2;1;0;0.917115037;-10.3545;-38.2213;3;0.599560977;0.792355416
0.481;0.00775;0.012;0;0;0.244648795;-11.2557;-40.9432;3;0.576466916;0.7320601
0.43;0.07625;0.031;0;0;0.499797421;-14.5003;-42.2229;2;0.493321122;0.703712286
0.47;0.10225;0.155;0;0;0.541626315;-14.1615;-40.0131;1;0.502003177;0.752663602
0.48;0.0005;0.092;;;0.090599818;-10.3524;-37.7002;1;0.599614791;0.803898783
0.5;0.08125;0.03;0;0;0.267757752;-26.62;-53.6716;1;0.182742904;0.450101578
0.568;0.049;0.097;0;0;0.976839871;-10.3545;-38.2213;3;0.599560977;0.792355416
0.512;0.0175;0.2;0;0;0.67936801;-19.9822;-44.8593;1;0.352842502;0.645310959
0.48;0.15;0.4;0;0;0.843971631;-27.0772;-52.1289;1;0.171026743;0.484275348
0.5;0.00175;0.053;0;0;0.28621928;-4.2416;-69.9383;1;0.75620954;0.08976291
0.49;0.03;0.17;0;0;0.086333426;-19.82;-40.2764;1;0.356999023;0.746831001
0.52;0.00375;0;0;0;0.837966527;-9.06596;-68.6571;1;0.632580974;0.118143952
0.45;0.0205;0.08;0;0;0.086184615;-2.88769;-40.1183;3;0.790904702;0.75033322
0.387;0.08275;0.28;0;0;0.112034459;-28.2448;-49.0215;3;0.141105942;0.55311023
0.48;0;0.069;1;0;0.718161527;-24.759;-48.5013;1;0.230432704;0.564633659
0.468;0.03;0.3;0;0;0.427571623;-22.7181;-42.6276;1;0.282732602;0.694747403
0.59;0.01975;0;0;0;0.014437159;-14.4071;-42.0721;2;0.495709456;0.707052795
0.68;0.0775;0.02;0;0;0.260638898;-8.81175;-36.0137;1;0.639095334;0.841257999
0.62;0.00525;0.148;0;0;0.085976786;-8.12113;-38.7388;3;0.656793093;0.780891797
0.346;0.0085;0.108;0;0;0.378083035;-26.635;-52.4556;3;0.182358516;0.477038315
0.512;0.031;0.234;1;0;0;-27.0996;-51.2473;3;0.170452723;0.503804482
0.474;0.01;0.11;1;0;0.791826987;-11.3809;-37.6623;1;0.573258554;0.80473834
0.49;0.0085;0.035;0;0;0.276174361;-14.5003;-42.2229;2;0.493321122;0.703712286
0.7;0;0.051;0;0;0.789812355;-11.9668;-41.2647;2;0.558244339;0.724938257
0.52;0.06675;0.1;0;0;0.142040331;-12.6187;-38.2926;3;0.541538815;0.790775984
0.52;0.0955;0.14;1;0;0.084338358;-12.9718;-38.5011;2;0.53249031;0.786157308
0.491;0.008;0.063;0;0;0.541647574;-21.0274;-41.6636;1;0.326058311;0.716101855
0.504;0.0025;0.084;0;0;0.440093429;-7.66373;-35.1002;1;0.668514379;0.861493779
0.51;0.012;0.038;0;0;0.012991647;-18.0754;-39.5565;3;0.401705967;0.76277817
0.45;0.02925;0.001;1;0;0;-5.79676;-42.6664;3;0.716357166;0.693887908
0.433;0.01325;0.137;0;0;0.089620099;-3.40202;-44.3508;1;0.777724533;0.656575211
0.52;0.001;0.15;0;0;0.010301903;-8.13436;-41.1431;2;0.656454062;0.727631931
0.51;0.0005;0.192;0;0;0;-2.76141;-42.2755;1;0.794140741;0.702547094
0.218;0.0005;0.03;0;0;0.746474596;-15.452;-47.6089;1;0.468932953;0.584402034
0.45;0.025;0.21;0;0;1;-26.242;-50.7957;1;0.192429494;0.51380829
0.5;0.00675;0.18;0;0;0.708838469;-8.81175;-36.0137;1;0.639095334;0.841257999
0.514;0.0005;0.08;0;0;0.662089019;-22.7181;-42.6276;1;0.282732602;0.694747403
0.421;0.01425;0.03;0;0;0.030281046;-9.06596;-68.6571;1;0.632580974;0.118143952
0.175;0.1185;0.3;0;0;0.287761319;-3.53639;-43.917;1;0.774281181;0.666184715
0.46;0;0.06;0;0;0.010301903;-8.13436;-41.1431;2;0.656454062;0.727631931
0.407;0.0095;0.067;0;0;0.150135038;-7.531474;-34.99631;2;0.671903558;0.863795143
0.552;0.004;0.08;;;0.015969225;-15.4572;-39.6458;1;0.468799698;0.760800003
0.52;0.04225;0.106;0;0;0.156563431;-10.3215;-36.585;1;0.600406632;0.828602606
0.52;0.0105;0.06;0;0;1;-3.40787;-44.0234;1;0.777574621;0.66382775
0.407;0;0.02;0;0;0.093238289;-18.9844;-41.6527;1;0.378412024;0.716343311
0.48;0.01525;0.1;0;0;0.157632264;-26.7191;-52.8625;3;0.180203377;0.468024698
