Nitrato;pH;Turbidez;CRL;Coliformes;Ecoli
0.2;;;;;
0;5.9;0.74;0;1;1
0;;;;;
;;;;;
0.5;;;;;
;;;;;
;;;;;
;;;;;
0.65;8.43;0.34;0.84;0;0
0.55;6.63;0.79;1.14;0;0
;6.85;156;0.01;1;1
0.62;6.9;5;0.82;0;0
0.45;7.12;0.42;0.78;0;0
0.72;7.45;0.34;1.4;0;0
0;;;;;
0.3;;;;;
0.1;;;;;
0.1;;;;;
0;;;;;
0.4;;;;;
1.7;;;;;
0;;;;;
;;;;;
;;;;;
1.92;;;;;
1.99;;;;;
1.97;;;;;
0;;;;;
0;;;;;
2.8;;;;;
0.7;;;;;
;;;;;
0.38;;;;;
0.33;;;;;
;;;;;
0.25;;;;;
0.35;;;;;
;;;;;
0.28;;;;;
0.34;;;;;
0.34;;;;;
0.32;;;;;
0.29;;;;;
0.29;;;;;
0.21;;;;;
1.15;;;;;
0.42;;;;;
0.31;;;;;
4;;;;;
0.3;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
0.46;;;;;
0.92;;;;;
0.67;;;;;
0.26;;;;;
0.68;;;;;
;;;;;
0.61;;;;;
0.8;7.34;0.58;1.07;0;0
0.7;;;;;
0.2;;;;;
;6.35;0.34;2.27;0;0
;8.33;9.69;0.01;1;
;7.21;0.62;0.39;0;0
;7.03;0.34;0.94;0;0
;5.98;0.72;;1;0
0.126;;;;;
0.8;;;;;
0.63;6.97;0.47;2.5;0;0
1.5;;;;;
0;6.75;0.4;0;1;0
0.1;6.18;1.07;;1;0
0;;;;;
0;;;;;
0.6;8.26;0.6;1.01;0;0
0.75;7.14;0.34;1.38;0;0
0.5;7.03;0.54;1.55;0;0
0.5;7.35;0.91;0.06;0;0
0.64;;21.5;0.01;1;1
0;;;;;
0;;;;;
0.3;;;;;
0.7;;;;;
10;1.65;0.65;0.3;0;0
1.6;;;;;
0.4;;;;;
0.2;;;;;
4.2;;;;;
0.6;;;;;
0.7;6.85;0.1;0.73;0;0
0;;;;;
0.7;;;;;
0.9;;;;;
0.2;;;;;
0.4;;;;;
0.3;;;;;
0;;;;;
0.4;;;;;
2.2;;;;;
0.9;;;;;
1.3;;;;;
0.3;;;;;
0.8;;;;;
0.3;;;;;
1.1;;;;;
0.7;;;;;
1.1;;;;;
1.1;;;;;
0.2;;;;;
0.7;;;;;
0.7;;;;;
1;;;;;
0.7;;;;;
1;;;;;
1.2;;;;;
0.3;;;;;
1.3;;;;;
0.5;;;;;
0.1;;;;;
1.2;;;;;
1;;;;;
0.3;;;;;
1.2;;;;;
1.2;;;;;
0.6;;;;;
1;;;;;
0.9;;;;;
0.8;;;;;
1.4;;;;;
0.9;;;;;
0.9;;;;;
1.7;;;;;
1.3;;;;;
0.7;;;;;
0.9;;;;;
0.9;;;;;
0.9;;;;;
0.8;;;;;
0.8;;;;;
0.365;;;;;
0.654;;;;;
0.6;;;;;
1.6;;;;;
0.6;;;;;
1.9;;;;;
3.7;;;;;
3.1;;;;;
0.8;;;;;
1;;;;;
1.7;;;;;
0.7;;;;;
1.5;;;;;
2;;;;;
0.7;;;;;
7.3;;;;;
2.8;;;;;
0.5;;;;;
1.9;;;;;
0.3;;;;;
0.2;;;;;
2.1;;;;;
0.8;;;;;
2;;;;;
0.7;;;;;
3.4;;;;;
2.7;;;;;
0.2;;;;;
0.7;;;;;
1.6;;;;;
0.4;;;;;
2;;;;;
1.5;;;;;
0.4;;;;;
4.8;;;;;
1.2;;;;;
0.9;;;;;
3;;;;;
0.9;;;;;
2.7;;;;;
0.9;;;;;
0.5;;;;;
1.1;;;;;
1.4;;;;;
1;;;;;
0.7;;;;;
11.8;;;;;
0.5;;;;;
0.8;;;;;
0.9;;;;;
1.7;;;;;
0.8;;;;;
1.5;;;;;
1;;;;;
1;;;;;
2;;;;;
0.9;;;;;
0;;;;;
0.4;;;;;
0.8;;;;;
1.1;;;;;
0.7;;;;;
3.5;;;;;
0.3;;;;;
1.5;;;;;
1.1;;;;;
1.2;;;;;
0;;;;;
1.3;;;;;
2.8;;;;;
2.4;;;;;
0.7;;;;;
0.5;;;;;
0.4;;;;;
2;;;;;
0.2;;;;;
0.4;;;;;
0.7;;;;;
1.3;;;;;
0.6;;;;;
0.7;;;;;
2.1;;;;;
0.3;;;;;
1.2;;;;;
2.3;;;;;
0;;;;;
0.3;;;;;
0.6;;;;;
0.3;;;;;
0.01;;;;;
0;;;;;
0;;;;;
2.9;;;;;
2.6;;;;;
3;;;;;
2.2;;;;;
1.8;;;;;
0;;;;;
1;;;;;
0.4;;;;;
0.4;;;;;
5;;;;;
0.6;;;;;
1.2;;;;;
11.4;;;;;
0.3;;;;;
0.5;;0.1;0.18;0;0
3.2;6.8;0.62;1.11;1;1
6.8;6.19;1.77;0.57;0;0
1.5;;;;;
5.1;;;;;
5.6;;;;;
0.2;;;;;
0.2;;;;;
1.5;;;;;
0.6;;;;;
0.9;;;;;
1.3;;;;;
0.8;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0.4;;;;;
0;;;;;
0.7;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
2.1;;;;;
0.7;;;;;
1;;;;;
1.4;;;;;
1.1;;;;;
7.8;;;;;
1;;;;;
1.3;;;;;
0.8;;;;;
1.4;;;;;
0;;;;;
0.6;;;;;
0.2;;;;;
0.4;;;;;
0;;;;;
0.6;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
1;;;;;
0;;;;;
1.1;;;;;
1.2;;;;;
0.9;;;;;
0;;;;;
0;;;;;
25;6.55;0.31;1.12;0;0
5.9;;;;;
3.7;;;;;
0.6;;;;;
0.9;;;;;
0.2;;;;;
5.9;;;;;
4.7;;;;;
1.9;;;;;
4.2;;;;;
6;;;;;
1.1;;;;;
0.6;7.8;7.39;0.2;1;1
0.9;;;;;
0.8;;;;;
2.4;;;;;
0.13;;;;;
95;;;;;
6.5;;;;;
10;;;;;
23.2;;;;;
13.2;;;;;
12.2;;;;;
13.9;;;;;
2.3;;;;;
0.95;6.41;0.99;0.27;0;0
0.58;;;;;
0.7;;;;;
0.36;;;;;
0.36;;;;;
0.16;;;;;
0.16;;;;;
0.3;;;;;
0.24;;;;;
0.25;;;;;
0.3;;;;;
0.36;;;;;
0.28;;;;;
0.31;;;;;
0.5;;;;;
0.97;;;;;
0.17;;;;;
0.38;;;;;
0.28;;;;;
0.31;;;;;
0.45;;;;;
0.42;;;;;
1.23;;;;;
0.71;;;;;
0.9;;;;;
2.45;;;;;
1.98;;;;;
1.14;;;;;
0.82;;;;;
0.39;;;;;
0.83;;;;;
0.63;;;;;
1.32;;;;;
1.17;;;;;
0.42;;;;;
0.6;;;;;
1.44;;;;;
0.73;;;;;
0.83;;;;;
0.81;;;;;
0.43;;;;;
0.5;;;;;
1.26;;;;;
0.55;;;;;
0.51;;;;;
1.42;;;;;
1.18;;;;;
0.46;;;;;
0.71;;;;;
0.63;;;;;
0.57;;;;;
0.57;;;;;
1.28;;;;;
1.25;;;;;
0.54;;;;;
1;;;;;
0.44;;;;;
1.08;;;;;
1.3;;;;;
0.22;;;;;
0.48;7.8;0.59;;0;0
0.32;;;;;
0.63;;;;;
0.35;;;;;
0.57;;;;;
0.51;;;;;
0.31;;;;;
3.01;7;0.02;1.5;1;0
3.01;;;;;
0.5;;;;;
0.16;;;;;
0.32;;;;;
0.26;;;;;
0.46;;;;;
0.38;;;;;
0.15;;;;;
0.47;;;;;
0.35;;;;;
0.32;;;;;
0.28;;;;;
0.11;;;;;
