pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Norte;Nordeste;Centro-Oeste;Sudeste;Sul;Latitude;Longitude;Manancial
7.09;0;0.24;0;0;0.727224327;0;0;1;0;0;-15.452;-47.6089;1
6.8;0;0.7;0;0;0.183563265;0;0;0;1;0;-22.7181;-42.6276;1
5.9;0.6;2;1;1;0.873894851;0;0;0;1;0;-23.6022;-46.919;2
6.9;2.5;0;1;0;0.708838469;0;1;0;0;0;-8.81175;-36.0137;1
4.1;0.79;0.2;0;0;1;0;1;0;0;0;-7.35819;-46.6225;1
7.54;1.9;0.8;1;0;0.007351476;0;0;1;0;0;-18.6238;-50.0805;3
4.7;0.3;2.11;0;0;0.853847246;0;0;0;0;1;-32.1931;-52.17515;1
7.1;0.1;2;0;0;0.086137463;0;1;0;0;0;-10.4854;-37.1963;1
7.12;3.5;0.08;0;0;0.948484524;0;0;0;1;0;-19.1541;-42.0803;3
6.37;2.1;0.39;1;0;0.149778854;0;0;0;1;0;-20.6229;-41.6937;1
7.4;1.69;0.77;0;0;0.455475571;0;0;0;0;1;-26.9592;-50.4252;1
7;1.1;;0;0;0.170271988;0;1;0;0;0;-10.3524;-37.7002;1
6.8;0.22;1;0;0;1;0;0;0;1;0;-24.7147;-47.8742;1
8.11;0.02;;0;0;0;0;1;0;0;0;-12.2819;-41.1715;1
7.4;0.6;1.5;0;0;0.071525651;0;1;0;0;0;-4.92673;-37.9721;1
0;7;0.33;;;0.931844315;1;0;0;0;0;-9.06596;-68.6571;1
6.57;0.06;1;1;0;0.77992619;0;1;0;0;0;-11.2329;-38.4871;3
7.91;0.74;1.05;;;1;0;0;1;0;0;-18.3067;-51.9586;1
6;4.64;1.28;0;0;0.019369391;0;0;1;0;0;-17.9719;-50.3388;1
6.58;1;0.52;0;0;0.764068698;0;0;0;1;0;-21.5556;-45.4364;1
8.04;0.43;0.01;0;0;0.209340884;0;1;0;0;0;-5.54637;-47.4217;3
6.57;0.05;1;0;0;0.77992619;0;1;0;0;0;-11.2329;-38.4871;3
7.3;0.02;1.58;1;0;0.628809966;0;0;0;0;1;-26.62;-53.6716;1
7.45;0.2;0.55;0;0;0;0;1;0;0;0;-14.5003;-42.2229;2
7.2;0.13;5;0;0;0.631787432;0;1;0;0;0;-7.37696;-37.4787;2
6.4;0;0.79;0;0;0.015566746;0;0;0;1;0;-20.0407;-47.7466;3
6.9;1.34;0.65;0;0;0.046190315;0;1;0;0;0;-8.81175;-36.0137;1
6.62;1;0.5;0;0;0.588854313;0;0;0;1;0;-21.5556;-45.4364;1
3.7;0;1;0;0;0.887921847;0;1;0;0;0;-7.35819;-46.6225;1
9.39;1.3;0.73;0;0;0.701359422;0;0;1;0;0;-18.6238;-50.0805;3
7.26;0.96;0.8;0;0;0.008420919;0;1;0;0;0;-14.5003;-42.2229;2
7.63;1.31;2.3;0;0;0.169205163;0;1;0;0;0;-7.87798;-34.48663;3
7.6;0.39;0.5;;;0.251202375;0;0;0;1;0;-18.2195;-42.4946;3
8.34;0.39;1.5;0;0;0.936507413;0;1;0;0;0;-11.56;-39.2808;3
7;2;0;0;0;0.442529485;0;1;0;0;0;-4.16598;-45.4706;3
6.9;0.18;0.04;0;0;0.591243893;0;1;0;0;0;-5.35875;-42.6776;3
5.21;0.1;1.5;0;0;0.096449486;0;1;0;0;0;-12.2816;-40.4931;1
6.82;0.39;1.05;0;0;0.646576415;0;1;0;0;0;-14.4229;-39.9031;1
7.61;0.5;1.22;0;0;0;0;0;1;0;0;-15.452;-47.6089;1
5.2;1;1.06;0;0;0.656877474;0;0;0;0;1;-32.07214;-52.25686;1
7.56;0;0.98;0;0;0.882313303;0;1;0;0;0;-12.1144;-43.8958;1
6.3;0.4;0.55;0;0;0.016390387;0;0;1;0;0;-15.8507;-48.9584;1
7.02;0.32;3.09;0;0;0.746474596;0;0;1;0;0;-15.452;-47.6089;1
8.02;0.06;1.49;0;0;0.013574298;0;0;1;0;0;-15.452;-47.6089;1
6.95;0.42;0;0;0;0.544733814;0;0;0;0;1;-27.7455;-49.9423;1
7.4;0.2;2;0;0;0.975857707;0;1;0;0;0;-7.46945;-37.274;2
8.48;1.5;0.31;0;0;0.025704185;0;0;0;1;0;-22.2386;-45.4654;1
7.32;0.88;0.43;0;0;0;0;1;0;0;0;-14.5003;-42.2229;2
7.2;0.5;0.5;0;0;0.865921641;1;0;0;0;0;-11.8881;-49.1609;3
7;6;1;0;0;0.283749737;0;1;0;0;0;-3.40202;-44.3508;1
7.85;1.3;0;0;0;0.315529922;0;0;1;0;0;-18.4859;-49.4766;1
7.2;0.02;2.16;0;0;0.396011307;0;1;0;0;0;-12.956929;-38.4954377;1
6.46;0.33;1.18;;;0.135727494;0;0;0;0;1;-25.8734;-49.4973;3
7.2;0.02;0.6;0;0;0.560826793;0;1;0;0;0;-8.41519;-37.0577;2
4.9;0.4;2.7;0;0;0.656877474;0;0;0;0;1;-32.069092;-52.096511;1
5;0;0.5;0;0;0.957956931;0;1;0;0;0;-8.65791;-36.3293;2
7.1;0.4;0.05;0;0;0.790134327;0;1;0;0;0;-8.81175;-36.0137;1
6.62;2.26;0.39;0;0;1;0;1;0;0;0;-8.23599;-41.6873;3
7.2;0.7;0.5;1;0;0.458426534;1;0;0;0;0;-11.8881;-49.1609;3
6.95;0.3;1.42;0;0;0.544733814;0;0;0;0;1;-27.7455;-49.9423;1
0;3;0.03;0;0;0.030281046;1;0;0;0;0;-9.06596;-68.6571;1
4.83;0.2;0.4;0;0;0.643152188;0;1;0;0;0;-14.303;-39.3222;1
7.2;1.96;1.68;1;1;0.771649842;0;1;0;0;0;-7.65655;-35.3139;1
6.43;2.1;5.51;0;0;1;0;1;0;0;0;-5.79357;-35.1986;3
6.8;0.88;1.5;1;0;0.541647574;0;0;0;1;0;-21.0274;-41.6636;1
6.9;2.4;;;;0;0;1;0;0;0;-10.3524;-37.7002;1
6.7;1.17;2.1;1;0;0.908338678;0;0;0;1;0;-21.5556;-45.4364;1
6.9;1.2;;0;0;0.170271988;0;1;0;0;0;-10.3524;-37.7002;1
7;1.3;;0;0;0.170271988;0;1;0;0;0;-10.3524;-37.7002;1
7;0;0.5;0;0;0;0;1;0;0;0;-8.65791;-36.3293;2
6.58;0.396;0.5;0;0;0;0;1;0;0;0;-12.9268706;-38.4826757;1
5.97;0.1;1.2;0;0;0.041913198;0;1;0;0;0;-12.5242;-40.3059;1
6.35;1.14;;0;0;0.667859946;1;0;0;0;0;-10.9056;-62.242;2
6.71;0.05;0.22;0;0;0.632678118;0;1;0;0;0;-12.4303;-38.3374;1
6.58;1;0.52;0;0;0.764068698;0;0;0;1;0;-21.5556;-45.4364;1
5.9;0.2;;0;0;0.255506969;1;0;0;0;0;-11.169;-61.8986;1
6.29;1.27;1.86;0;0;0.004029215;0;0;1;0;0;-15.452;-47.6089;3
7.91;0;1.02;0;0;0;0;0;1;0;0;-15.452;-47.6089;1
6.52;1.8;2.9;0;0;0.169205163;0;1;0;0;0;-7.5606;-34.9959;2
7.32;0.02;0.1;0;0;0;0;1;0;0;0;-12.8937082;-38.440751;1
7;1.2;;0;0;0.170271988;0;1;0;0;0;-10.3524;-37.7002;1
7;5;0;0;0;0.260638898;0;1;0;0;0;-8.81175;-36.0137;1
6.89;0.04;1;0;0;0.956201397;0;1;0;0;0;-11.2329;-38.4871;3
6.23;0.1;0.3;0;0;0.010583734;0;1;0;0;0;-11.3486;-41.6548;1
7.15;0.65;0.3;0;0;0.856022048;0;0;0;1;0;-20.6229;-41.6937;1
6;0.02;2;0;0;0.343264019;0;1;0;0;0;-15.8608;-38.8758;1
6.1;1.8;1;0;0;0.014848623;0;1;0;0;0;-10.758;-37.3251;2
6.94;0.1;0.3;0;0;0.921525736;0;1;0;0;0;-13.9109;-42.8439;1
6.32;0.02;1.85;0;0;0.780737018;0;1;0;0;0;-12.8937082;-38.440751;1
6.73;1;0.56;0;0;0.175942862;0;0;0;1;0;-21.5556;-45.4364;1
7.12;0.22;0.58;0;0;0.005221891;0;1;0;0;0;-12.1144;-43.8958;1
6.98;15.1;0.2;0;0;0;0;0;0;1;0;-22.7542;-47.1488;1
6.54;0.7;1.3;0;0;0.032895984;1;0;0;0;0;-13.187;-60.8168;2
6.98;0.47;2.6;1;0;0.169205163;0;1;0;0;0;-7.38093;-34.49053;3
